start_time,second_time,car_value,bus_value,truck_value,car_flow,bus_flow,truck_flow,flow_sum,density,residence_time,lanes_sum,FPR,flow_normalization,density_normalization,residence_time_normalize,FPR_normalize,congestion_coefficient
2024/5/1 12:56,0,14.25,0.01,0.69,49,0,4,53,14.95,23.08,2,12.25,1,1,0.753065215,0.59075069,0.442497317
2024/5/1 13:01,300,13.18421659,0.040155868,1.00249389,304.8441319,0,28.31255092,36.68744908,14.22686634,28.90342678,2,10.52312992,0.553447234,0.937570613,0.976796722,0.453206975,0.392832534
2024/5/1 13:06,600,13.68277304,0.126866344,0.695635693,482.5947429,4,56.28137729,35.40688646,14.50527508,21.12420517,2,5.560123132,0.518392093,0.961606124,0.677925105,0.057907756,0.326583886
2024/5/1 13:11,900,12.94750611,0.004052571,0.637637538,755.6415033,5,70.98441319,24.01558681,13.58919622,28.65594326,2,17.38815106,0.20655758,0.882519443,0.967288599,1,0.358454843
2024/5/1 13:16,1200,13.7625835,0.091870417,0.38,960.501222,10,85.31255092,27.74979633,14.23445392,29.33810073,2,10.59904071,0.308780807,0.938225662,0.993496556,0.459253204,0.359038114
2024/5/1 13:21,1500,13.45359311,0.237054799,0.690647913,1151.298593,12.92206594,97.28137729,26.96964105,14.38129583,29.50737653,2,12.8130247,0.287424215,0.95090278,1,0.635595123,0.367528805
2024/5/1 13:26,1800,12.18278119,0.166259165,1.455348397,1323.251833,21.96882638,123.8129583,31.15586812,13.80438875,26.54026472,2,4.833087575,0.40202133,0.901097388,0.886005882,0,0.32836869
2024/5/1 13:31,2100,13.58217293,0.119876719,0.436850051,1539.236246,29.89089231,140,33.84250253,14.1388997,16.71762608,2,8.958623285,0.475567401,0.9299763,0.508627779,0.328595368,0.30355549
2024/5/1 13:36,2400,11.02989409,0.007497963,1.196242872,1768.129583,40,171.1255092,46.25101834,12.23363493,19.09706925,2,5.550999482,0.815247999,0.765491478,0.600044127,0.057181065,0.329976594
2024/5/1 13:41,2700,11.22082223,0.019352087,1.496512794,2042.89578,43,206.6726769,51.81295825,12.73668712,19.17155844,2,7.128051512,0.967504973,0.808920849,0.602905943,0.182791902,0.36603936
