,Number of frames,car_average_value,bus_average_value,truck_average_value,car_flow_count,bus_flow_count,truck_flow_count,all_flow_count
0,100,8.57,0.0,0.65,45,0,1,46
1,200,7.57,0.06,0.37,79,1,4,84
2,300,8.34,0.03,0.78,116,1,5,122
3,400,7.97,0.01,0.27,147,1,7,155
4,500,4.02,0.0,0.93,163,1,9,173
5,600,3.18,0.0,0.4,176,1,11,188
6,700,5.53,0.07,1.14,200,3,14,217
7,800,5.39,0.28,1.92,234,5,23,262
8,900,10.37,0.0,0.8,280,5,25,310
9,1000,9.27,0.21,1.12,320,6,33,359
10,1100,8.13,0.02,1.17,354,6,39,399
11,1200,6.06,0.0,0.96,374,6,42,422
12,1300,7.09,0.15,0.83,404,7,43,454
13,1400,5.84,0.13,0.96,425,9,44,478
14,1500,7.16,0.0,0.44,451,9,47,507
15,1600,4.93,0.0,0.41,473,9,47,529
16,1700,7.59,0.09,0.98,517,9,53,579
17,1800,8.51,0.02,0.47,548,9,57,614
18,1900,6.97,0.15,1.23,572,10,65,647
19,2000,5.11,0.0,1.32,592,10,69,671
20,2100,9.54,0.14,0.55,625,12,71,708
21,2200,6.94,0.18,1.63,656,13,74,743
22,2300,9.0,0.0,0.33,699,13,74,786
23,2400,8.55,0.0,0.91,734,13,79,826
24,2500,5.99,0.0,1.29,760,13,81,854
25,2600,6.53,0.21,1.47,791,13,85,889
26,2700,7.98,0.01,1.07,824,13,89,926
27,2800,8.73,0.0,0.46,858,13,90,961
28,2900,7.92,0.0,1.01,894,13,94,1001
29,3000,6.68,0.22,1.09,925,14,95,1034
30,3100,6.94,0.0,0.69,949,14,97,1060
31,3200,7.16,0.05,0.43,982,15,98,1095
32,3300,8.67,0.15,0.77,1019,19,100,1138
33,3400,5.78,0.01,0.21,1039,20,102,1161
34,3500,6.18,0.06,1.28,1070,21,103,1194
35,3600,10.87,0.05,0.6,1120,22,105,1247
36,3700,7.23,0.16,0.58,1156,23,108,1287
37,3800,8.63,0.1,0.8,1201,24,109,1334
38,3900,8.6,0.1,0.45,1241,25,110,1376
39,4000,5.18,0.0,0.71,1255,25,114,1394
40,4100,6.08,0.02,1.13,1278,26,117,1421
41,4200,8.09,0.07,0.55,1312,26,119,1457
42,4300,4.87,0.1,0.74,1330,26,123,1479
43,4400,3.57,0.11,1.25,1344,26,128,1498
44,4500,5.77,0.05,1.4,1364,27,131,1522
45,4600,7.62,0.28,1.28,1397,29,135,1561
46,4700,4.15,0.18,1.64,1416,29,140,1585
47,4800,7.17,0.08,1.2,1445,30,144,1619
48,4900,8.7,0.1,0.43,1476,31,146,1653
49,5000,5.7,0.22,2.48,1497,32,151,1680
50,5100,9.01,0.1,1.36,1543,33,153,1729
51,5200,11.96,0.0,0.66,1583,33,156,1772
52,5300,6.22,0.86,1.85,1591,35,163,1789
53,5400,5.49,0.21,3.46,1614,35,166,1815
54,5500,9.82,0.16,1.21,1635,38,170,1843
55,5600,9.63,0.01,2.22,1671,38,175,1884
56,5700,11.16,0.0,0.45,1708,38,180,1926
57,5800,11.65,0.0,0.95,1735,38,181,1954
58,5900,10.13,0.0,1.61,1752,38,182,1972
59,6000,7.01,0.03,3.27,1762,38,188,1988
60,6100,9.61,0.0,2.23,1798,38,189,2025
61,6200,11.24,0.8,0.77,1836,40,190,2066
62,6300,10.82,0.07,1.4,1853,40,192,2085
63,6400,12.14,0.02,0.24,1876,40,193,2109
64,6500,12.1,0.0,1.47,1901,40,197,2138
65,6600,9.08,0.27,1.55,1913,42,197,2152
66,6700,13.51,0.16,1.22,1949,42,197,2188
67,6800,11.31,0.01,1.74,1976,42,203,2221
68,6900,12.61,0.0,0.59,2001,42,204,2247
69,7000,13.15,0.04,1.08,2037,42,205,2284
70,7100,12.2,1.03,0.97,2055,43,207,2305
71,7200,11.2,0.06,2.45,2066,43,207,2316
72,7300,11.12,0.01,1.56,2089,43,209,2341
73,7400,8.89,0.4,3.35,2101,44,214,2359
74,7500,7.84,0.02,3.87,2110,44,217,2371
75,7600,10.19,0.0,3.49,2137,44,221,2402
76,7700,11.61,0.05,2.33,2153,44,222,2419
77,7800,12.28,0.19,1.09,2183,45,224,2452
78,7900,10.79,0.02,1.95,2202,45,230,2477
79,8000,9.96,0.0,2.15,2227,45,234,2506
80,8100,10.98,0.23,1.96,2255,46,239,2540
81,8200,11.54,0.41,2.14,2295,48,245,2588
82,8300,12.4,0.37,1.01,2321,48,246,2615
83,8400,8.48,0.63,2.77,2346,50,252,2648
84,8500,6.56,0.0,2.56,2370,50,264,2684
85,8600,12.31,0.24,0.76,2413,50,267,2730
86,8700,8.84,0.45,1.77,2442,51,274,2767
87,8800,10.96,0.01,1.66,2480,52,282,2814
88,8900,10.94,0.14,1.87,2520,54,288,2862
89,9000,12.21,0.04,1.39,2561,54,289,2904
90,9100,9.73,0.03,1.38,2590,54,291,2935
91,9200,7.97,0.0,2.19,2604,54,299,2957
92,9300,6.55,0.02,2.47,2626,54,302,2982
93,9400,11.17,0.11,1.51,2652,56,303,3011
94,9500,11.42,0.0,1.24,2684,56,304,3044
95,9600,10.27,0.12,0.12,2697,56,306,3059
96,9700,10.79,0.08,0.39,2723,56,309,3088
97,9800,6.57,0.0,0.4,2736,56,310,3102
98,9900,5.36,0.01,0.7,2746,56,313,3115
99,10000,4.6,0.05,0.93,2754,56,318,3128
100,10100,5.02,0.0,0.51,2768,56,319,3143
101,10200,4.36,0.0,0.63,2780,56,320,3156
102,10300,2.97,0.0,0.94,2788,56,321,3165
103,10400,2.9,0.2,0.55,2793,57,321,3171
104,10500,4.39,0.1,0.57,2814,58,323,3195
105,10600,3.98,0.01,0.31,2826,58,325,3209
106,10700,6.42,0.01,1.23,2864,58,328,3250
107,10800,8.74,0.0,0.21,2901,58,330,3289
108,10900,3.32,0.17,0.7,2911,60,330,3301
109,11000,6.11,0.0,0.05,2938,60,330,3328
110,11100,3.09,0.33,0.21,2947,61,330,3338
111,11200,3.83,0.13,0.2,2963,62,332,3357
112,11300,6.6,0.0,0.03,2992,62,332,3386
