,Number of frames,car_average_value,bus_average_value,truck_average_value,car_flow_count,bus_flow_count,truck_flow_count,all_flow_count
0,100,10.93,0.0,1.59,42,0,9,51
1,200,9.97,0.0,1.39,69,0,13,82
2,300,8.23,0.14,1.64,97,2,18,117
3,400,6.92,0.02,1.69,120,2,25,147
4,500,9.77,0.0,1.1,150,2,28,180
5,600,7.07,0.0,1.62,176,2,35,213
6,700,8.41,0.12,1.65,213,2,39,254
7,800,7.89,0.01,1.38,240,2,47,289
8,900,10.62,0.27,0.89,272,5,50,327
9,1000,10.78,0.23,0.42,307,5,50,362
10,1100,11.6,0.05,0.57,346,6,51,403
11,1200,11.3,0.03,0.65,397,7,52,456
12,1300,7.16,0.19,1.65,424,9,58,491
13,1400,7.95,0.03,1.66,453,9,62,524
14,1500,12.35,0.0,0.03,501,9,62,572
15,1600,9.29,0.0,0.95,538,9,68,615
16,1700,7.59,0.0,0.11,563,9,69,641
17,1800,2.49,0.01,0.71,577,9,74,660
18,1900,2.3,0.0,0.5,585,9,79,673
19,2000,2.73,0.03,1.02,598,9,85,692
20,2100,4.95,0.04,0.77,628,10,85,723
21,2200,7.41,0.35,2.16,660,12,90,762
22,2300,8.17,0.0,1.45,697,12,91,800
23,2400,2.49,0.01,0.21,709,12,91,812
24,2500,2.85,0.0,0.04,724,12,91,827
25,2600,2.13,0.0,0.34,735,12,92,839
26,2700,5.27,0.11,0.26,765,14,93,872
27,2800,3.24,0.0,0.19,782,14,94,890
28,2900,3.67,0.0,0.77,799,14,98,911
29,3000,4.84,0.0,0.08,823,14,99,936
30,3100,2.26,0.0,0.09,834,14,100,948
31,3200,2.06,0.0,0.13,843,14,101,958
32,3300,4.19,0.0,0.38,866,14,104,984
33,3400,3.74,0.02,0.33,886,14,106,1006
34,3500,3.64,0.02,0.73,905,14,109,1028
35,3600,2.49,0.13,0.09,915,15,109,1039
36,3700,4.26,0.08,0.49,941,15,112,1068
37,3800,6.49,0.08,0.64,972,16,116,1104
38,3900,3.47,0.0,0.04,989,16,116,1121
39,4000,2.48,0.14,0.2,1000,17,117,1134
40,4100,4.36,0.0,0.09,1021,17,118,1156
41,4200,3.88,0.03,0.51,1036,17,121,1174
42,4300,4.59,0.09,0.6,1059,18,124,1201
43,4500,5.09,0.12,1.28,1084,19,130,1233
44,4600,5.56,0.11,0.28,1112,21,132,1265
45,4700,3.99,0.1,0.18,1133,22,133,1288
46,4800,2.84,0.03,0.24,1150,22,133,1305
47,4900,4.81,0.01,0.5,1173,22,135,1330
48,5000,6.3,0.15,0.32,1203,23,137,1363
49,5100,2.96,0.02,0.08,1217,23,138,1378
50,5200,2.3,0.11,0.12,1227,24,138,1389
51,5300,4.18,0.0,0.31,1250,24,142,1416
52,5400,3.43,0.0,0.14,1269,24,143,1436
53,5500,2.15,0.02,0.24,1279,24,145,1448
54,5600,4.37,0.0,0.53,1299,24,148,1471
55,5700,4.67,0.0,0.14,1322,24,148,1494
56,5800,2.83,0.0,0.16,1337,24,150,1511
57,5900,5.4,0.0,0.58,1361,24,155,1540
58,6000,7.06,0.06,0.77,1396,25,159,1580
59,6100,3.91,0.0,0.14,1414,25,160,1599
60,6200,4.84,0.0,0.32,1438,25,163,1626
61,6300,3.53,0.0,0.02,1455,25,163,1643
62,6400,2.19,0.16,0.44,1465,27,165,1657
63,6500,7.05,0.19,0.47,1499,29,168,1696
64,6600,3.81,0.01,0.25,1517,29,170,1716
65,6700,6.03,0.01,0.45,1552,29,174,1755
66,6800,4.33,0.01,0.37,1573,29,176,1778
67,7000,5.67,0.0,0.44,1598,29,178,1805
68,7100,5.47,0.0,0.3,1623,29,180,1832
69,7200,3.21,0.11,0.39,1637,29,183,1849
70,7300,3.71,0.01,0.42,1657,29,187,1873
71,7400,3.35,0.0,0.29,1671,29,189,1889
72,7500,4.07,0.01,0.99,1689,29,193,1911
73,7600,6.32,0.0,0.93,1719,29,198,1946
74,7700,6.71,0.31,0.62,1752,33,199,1984
75,7800,7.51,0.06,0.65,1790,34,202,2026
76,7900,4.27,0.02,0.76,1811,34,205,2050
77,8000,7.61,0.0,0.22,1848,34,207,2089
78,8100,6.15,0.0,0.05,1882,34,207,2123
79,8200,2.45,0.13,0.4,1892,35,210,2137
80,8300,4.3,0.0,0.61,1911,35,214,2160
81,8400,6.91,0.0,0.55,1940,35,217,2192
82,8500,7.66,0.01,0.44,1981,35,220,2236
83,8600,8.64,0.12,0.34,2022,36,221,2279
84,8700,4.88,0.17,0.43,2046,39,224,2309
85,8800,4.34,0.01,0.28,2067,39,225,2331
86,8900,5.06,0.07,0.82,2090,40,230,2360
87,9000,5.8,0.0,0.72,2119,40,237,2396
88,9100,4.23,0.04,0.45,2138,41,239,2418
89,9200,3.88,0.0,0.21,2158,41,241,2440
90,9300,3.76,0.0,0.14,2176,41,242,2459
91,9400,3.86,0.0,0.12,2196,41,242,2479
92,9500,2.83,0.11,0.56,2213,42,247,2502
93,9600,4.29,0.03,0.7,2232,43,251,2526
94,9700,2.92,0.09,0.53,2246,44,255,2545
95,9800,3.46,0.0,0.33,2265,44,257,2566
96,9900,4.44,0.0,0.19,2288,44,258,2590
97,10000,3.54,0.11,0.11,2305,45,259,2609
98,10100,3.35,0.0,0.05,2321,45,259,2625
99,10200,5.21,0.0,0.28,2346,45,259,2650
100,10300,7.52,0.47,0.32,2381,49,261,2691
101,10400,4.99,0.01,0.11,2402,49,263,2714
102,10500,4.29,0.03,0.3,2424,49,264,2737
103,10600,3.82,0.0,0.12,2444,49,264,2757
104,10700,3.49,0.09,0.22,2461,49,267,2777
