interval_index,avg_frame_diff,start_time_second,dwell_time_second
0,30.2,300.0,12.08
750,28.03,600.0,11.212000000000002
1500,17.9,900.0,7.16
2250,11.41,1200.0,4.564
3000,9.05952380952381,1500.0,3.6238095238095243
3750,8.39,1800.0,3.3560000000000003
4500,10.75,2100.0,4.3
5250,7.27,2400.0,2.908
6000,11.48,2700.0,4.5920000000000005
6750,7.863636363636363,3000.0,3.1454545454545455
7500,13.08,3300.0,5.232
8250,11.51,3600.0,4.604
9000,8.93,3900.0,3.572
9750,9.0,4200.0,3.6
10500,4.676470588235294,4500.0,1.8705882352941179
