interval_index,avg_frame_diff,start_time_second,dwell_time_second
0,57.7,300.0,23.080000000000002
750,72.6,600.0,29.04
1500,51.86,900.0,20.744
2250,73.1,1200.0,29.24
3000,73.37,1500.0,29.348000000000003
3750,73.82,1800.0,29.528
4500,65.16,2100.0,26.064
5250,37.33,2400.0,14.932
6000,50.08,2700.0,20.032
6750,47.37,3000.0,18.948
7500,50.11,3300.0,20.044
8250,53.38,3600.0,21.352000000000004
9000,49.75,3900.0,19.900000000000002
9750,38.48,4200.0,15.392
10500,14.655737704918034,4500.0,5.862295081967214
