interval_index,avg_frame_diff,start_time_second,dwell_time_second
0,20.88,300.0,8.352
750,22.87,600.0,9.148000000000001
1500,18.48,900.0,7.392
2250,18.58,1200.0,7.4319999999999995
3000,23.9,1500.0,9.56
3750,19.14,1800.0,7.656000000000001
4500,21.45,2100.0,8.58
5250,21.09,2400.0,8.436
6000,20.51,2700.0,8.204
6750,19.82,3000.0,7.928000000000001
7500,21.35,3300.0,8.540000000000001
8250,21.73,3600.0,8.692
9000,20.77,3900.0,8.308
9750,23.35,4200.0,9.340000000000002
10500,25.83,4500.0,10.332
11250,23.46,4800.0,9.384
12000,29.25,5100.0,11.700000000000001
12750,21.81,5400.0,8.724
13500,19.63,5700.0,7.852
14250,20.09,6000.0,8.036
15000,25.27,6300.0,10.108
15750,20.68,6600.0,8.272
16500,21.91,6900.0,8.764000000000001
17250,25.56,7200.0,10.224
18000,20.19,7500.0,8.076
18750,22.28,7800.0,8.912
19500,23.13,8100.0,9.252
20250,21.64,8400.0,8.656
21000,23.32,8700.0,9.328000000000001
21750,24.07,9000.0,9.628
22500,28.21,9300.0,11.284
23250,20.59,9600.0,8.236
24000,23.68,9900.0,9.472
24750,21.64,10200.0,8.656
25500,22.18,10500.0,8.872
26250,25.86,10800.0,10.344000000000001
27000,12.344827586206897,11100.0,4.937931034482759
