id,class,first_frame,last_frame
1,car,3,10
2,car,3,12
4,truck,4,35
5,truck,13,86
6,car,14,16
8,truck,20,30
10,car,23,36
15,car,28,53
19,truck,32,55
23,car,36,39
28,truck,38,41
32,truck,40,72
37,car,46,63
42,car,48,65
46,car,50,63
50,car,56,73
54,car,62,76
59,car,65,74
60,truck,66,123
65,car,68,72
70,car,72,78
71,car,72,83
79,truck,75,86
81,car,79,93
82,car,81,92
87,car,106,119
91,car,116,125
96,car,120,129
98,car,124,143
101,car,131,140
103,truck,161,165
106,truck,164,188
117,car,172,212
123,car,175,192
126,car,176,200
130,car,184,198
134,car,195,211
135,car,198,216
140,car,203,216
146,car,208,225
153,car,217,236
156,car,218,242
160,truck,231,249
165,car,236,246
172,car,249,256
177,car,302,319
179,truck,304,323
188,truck,318,327
190,car,321,325
191,car,324,330
194,car,340,359
199,car,347,356
206,car,351,372
211,car,356,368
218,truck,368,392
221,truck,372,406
222,car,372,379
229,car,384,400
231,car,386,410
237,car,404,428
246,car,415,429
248,car,417,422
253,car,421,443
256,car,427,434
263,car,433,449
264,truck,434,454
267,car,440,448
273,car,449,473
277,car,458,470
279,truck,461,488
286,car,468,494
289,car,475,493
295,truck,483,502
297,car,484,493
303,car,512,537
304,car,513,546
307,car,517,537
311,car,522,553
318,car,537,558
323,car,540,572
328,car,551,578
331,car,558,562
336,car,580,604
339,truck,591,597
340,truck,592,600
342,car,593,615
343,bus,598,622
344,bus,602,641
351,truck,612,628
359,car,617,629
364,car,621,631
371,car,628,647
374,car,628,685
375,car,629,655
378,car,631,646
394,truck,640,662
398,car,644,671
399,car,646,667
402,car,648,677
404,car,652,668
406,bus,655,685
413,car,685,697
417,truck,690,698
426,car,699,719
430,car,702,721
433,truck,705,721
437,car,710,714
442,truck,711,803
445,truck,714,730
446,car,714,720
456,car,723,727
458,car,728,731
460,car,729,767
464,car,732,772
466,truck,732,755
469,car,738,743
473,bus,749,763
478,truck,762,784
482,truck,766,772
492,truck,770,801
494,car,771,802
495,bus,771,810
502,truck,775,786
504,car,775,780
506,car,777,788
509,truck,781,787
510,car,782,794
514,truck,791,797
515,truck,793,812
516,truck,794,800
518,truck,796,808
519,car,798,804
524,truck,803,820
525,car,803,841
526,car,805,813
529,car,807,817
531,car,810,845
535,car,813,818
536,car,813,822
537,car,813,824
539,car,815,822
542,car,817,843
544,car,819,834
545,car,819,826
546,car,819,841
547,car,820,832
548,truck,820,877
557,car,826,835
559,car,830,871
565,car,838,850
570,car,845,935
572,car,845,849
576,car,848,865
581,car,860,919
582,car,862,868
586,car,864,889
594,car,869,889
598,car,871,905
601,car,873,902
604,car,874,909
612,car,877,890
613,car,877,892
620,car,885,892
621,car,887,903
622,truck,887,909
626,car,895,924
627,car,896,903
630,truck,899,930
640,car,912,933
642,car,920,928
645,car,927,956
648,car,934,949
650,car,937,957
658,car,941,968
661,car,943,977
663,car,954,961
668,car,961,987
675,car,970,979
679,car,977,991
683,truck,980,998
685,truck,984,1034
691,truck,993,1009
693,car,999,1002
695,car,1005,1025
696,car,1009,1021
698,car,1013,1017
700,car,1016,1026
706,truck,1020,1035
713,car,1027,1034
716,car,1029,1050
720,car,1037,1045
722,car,1039,1064
726,car,1052,1076
737,car,1058,1078
739,truck,1059,1080
740,car,1062,1083
744,car,1070,1083
755,truck,1084,1103
761,car,1088,1093
767,car,1092,1107
771,truck,1095,1120
773,car,1100,1108
780,car,1154,1166
784,truck,1161,1177
798,car,1167,1176
808,car,1171,1186
813,car,1176,1190
815,car,1176,1185
817,car,1177,1193
819,truck,1179,1184
824,car,1182,1194
827,car,1183,1189
828,car,1185,1205
836,car,1189,1194
839,car,1191,1217
840,truck,1192,1199
849,car,1197,1229
850,car,1199,1205
851,car,1209,1216
852,car,1210,1224
856,car,1212,1223
857,truck,1213,1234
861,car,1217,1242
865,car,1223,1240
874,car,1229,1238
881,car,1237,1252
884,car,1243,1267
890,car,1247,1251
894,car,1250,1274
897,car,1259,1283
898,car,1259,1276
906,truck,1273,1297
912,car,1289,1311
920,car,1298,1319
923,car,1300,1325
928,car,1306,1327
930,bus,1317,1349
941,car,1324,1337
947,car,1335,1361
952,car,1358,1388
956,truck,1376,1384
957,car,1383,1401
964,bus,1401,1411
981,car,1409,1432
984,truck,1411,1470
990,car,1418,1441
997,car,1430,1441
999,car,1440,1459
1005,car,1457,1486
1009,car,1461,1475
1015,truck,1470,1481
1016,truck,1473,1480
1019,car,1476,1493
1025,car,1480,1488
1040,car,1493,1520
1044,car,1496,1513
1049,car,1500,1515
1052,car,1502,1522
1058,car,1507,1531
1061,car,1510,1525
1063,car,1511,1518
1069,car,1517,1534
1071,car,1524,1542
1073,car,1524,1552
1075,truck,1526,1535
1077,truck,1528,1547
1082,car,1534,1559
1087,car,1539,1564
1092,car,1545,1551
1096,truck,1547,1565
1100,car,1552,1588
1104,car,1558,1566
1105,truck,1558,1565
1110,car,1562,1577
1111,car,1562,1574
1112,car,1563,1589
1116,car,1565,1571
1121,car,1568,1585
1123,car,1569,1589
1127,car,1574,1586
1131,car,1578,1607
1133,car,1579,1597
1139,car,1584,1589
1140,car,1584,1591
1141,car,1588,1620
1144,car,1594,1601
1151,car,1611,1619
1152,car,1612,1619
1156,car,1632,1646
1158,car,1637,1667
1163,car,1644,1673
1165,car,1648,1658
1167,car,1653,1669
1173,car,1680,1696
1176,car,1688,1712
1179,car,1690,1703
1180,truck,1692,1716
1184,car,1698,1723
1195,car,1723,1744
1199,truck,1730,1751
1201,truck,1731,1741
1205,truck,1733,1740
1207,truck,1734,1747
1208,car,1735,1764
1214,car,1742,1770
1215,car,1742,1754
1219,car,1746,1766
1221,car,1766,1770
1225,car,1770,1780
1232,truck,1776,1791
1235,car,1777,1794
1236,bus,1778,1828
1242,car,1789,1796
1243,car,1790,1806
1246,car,1791,1795
1248,car,1793,1818
1252,car,1796,1825
1254,bus,1804,1834
1260,car,1811,1834
1263,car,1821,1849
1271,car,1836,1853
1278,truck,1878,1889
1279,car,1883,1901
1284,car,1888,1910
1292,car,1896,1909
1293,car,1909,1922
1304,car,1921,1938
1309,truck,1927,1952
1316,car,1945,1967
1318,car,1947,1962
1324,car,1954,1978
1325,car,1962,1977
1330,car,1966,1982
1341,truck,1995,2017
1346,car,2010,2024
1348,truck,2018,2026
1349,truck,2021,2060
1350,car,2026,2030
1356,car,2035,2057
1364,car,2054,2067
1369,car,2070,2076
1370,car,2071,2094
1374,car,2074,2102
1377,car,2106,2130
1382,car,2122,2147
1387,truck,2140,2147
1389,truck,2142,2145
1391,truck,2146,2176
1396,truck,2155,2175
1397,car,2155,2160
1398,car,2155,2159
1402,car,2157,2178
1405,car,2159,2171
1411,car,2171,2188
1412,car,2171,2197
1416,car,2190,2206
1418,car,2192,2201
1424,car,2198,2213
1427,car,2212,2237
1433,car,2226,2240
1442,car,2243,2252
1443,truck,2243,2267
1449,car,2247,2270
1450,car,2248,2257
1455,car,2255,2281
1458,truck,2267,2277
1460,bus,2270,2277
1469,car,2276,2290
1476,car,2289,2310
1485,truck,2296,2316
1486,car,2296,2327
1491,car,2299,2319
1494,car,2307,2322
1496,car,2318,2348
1510,car,2330,2344
1515,car,2332,2347
1516,car,2333,2355
1524,car,2339,2361
1527,car,2342,2363
1534,car,2363,2372
1540,car,2367,2382
1541,car,2381,2391
1542,truck,2387,2412
1548,car,2419,2426
1553,car,2423,2438
1561,car,2431,2455
1563,car,2434,2446
1564,truck,2435,2459
1568,car,2448,2460
1573,truck,2458,2491
1577,car,2467,2481
1580,car,2478,2500
1585,car,2482,2506
1591,car,2496,2520
1600,truck,2530,2559
1601,car,2530,2548
1607,car,2546,2555
1612,truck,2548,2570
1619,car,2550,2555
1622,car,2552,2559
1628,truck,2556,2580
1636,car,2559,2574
1638,car,2560,2577
1641,bus,2568,2576
1646,car,2581,2592
1653,car,2590,2607
1654,truck,2590,2600
1669,car,2602,2606
1679,truck,2612,2623
1682,truck,2620,2644
1687,car,2630,2642
1688,car,2631,2642
1691,car,2634,2660
1696,car,2645,2652
1699,car,2647,2664
1703,truck,2684,2721
