interval_index,avg_frame_diff,start_time_second,dwell_time_second
0,48.49,300.0,19.396
750,46.62,600.0,18.648
1500,49.85,900.0,19.94
2250,49.82,1200.0,19.928
3000,54.56,1500.0,21.824
3750,51.42,1800.0,20.568
4500,48.54,2100.0,19.416
5250,65.69,2400.0,26.276
6000,51.7,2700.0,20.680000000000003
6750,49.2,3000.0,19.680000000000003
7500,54.79,3300.0,21.916
8250,63.17,3600.0,25.268
9000,54.58,3900.0,21.832
9750,51.65,4200.0,20.66
10500,48.12,4500.0,19.248
11250,48.79,4800.0,19.516000000000002
12000,38.76,5100.0,15.504
12750,35.23,5400.0,14.091999999999999
13500,42.8,5700.0,17.12
14250,39.01,6000.0,15.604
15000,40.53,6300.0,16.212
15750,40.36,6600.0,16.144000000000002
16500,26.12,6900.0,10.448
17250,28.56,7200.0,11.424
18000,28.87,7500.0,11.548000000000002
18750,28.67,7800.0,11.468000000000002
19500,29.61,8100.0,11.844000000000001
20250,29.69,8400.0,11.876000000000001
21000,28.98,8700.0,11.592
21750,29.02,9000.0,11.608
22500,32.86,9300.0,13.144
23250,26.16,9600.0,10.464
24000,32.55,9900.0,13.02
24750,31.0,10200.0,12.4
25500,42.84,10500.0,17.136000000000003
26250,23.3,10800.0,9.32
27000,17.22222222222222,11100.0,6.888888888888889
