id,class,first_frame,last_frame
3,car,3,8
8,truck,3,58
9,car,3,24
10,car,3,19
11,car,3,22
12,car,5,7
16,truck,8,49
18,truck,14,22
20,car,17,21
25,car,20,40
27,car,21,25
30,car,25,37
36,car,31,45
39,car,44,51
46,truck,51,64
47,car,51,58
51,car,59,61
52,truck,60,67
54,truck,66,69
55,truck,66,102
56,truck,69,97
57,car,70,97
58,car,71,79
59,truck,71,77
60,truck,75,79
62,car,78,96
65,car,80,86
66,car,81,108
68,car,84,98
70,car,86,91
72,bus,95,131
76,truck,99,236
77,car,99,124
78,car,101,244
79,car,103,125
81,car,107,124
83,car,115,128
85,truck,120,127
87,car,126,142
89,car,127,137
91,car,132,144
93,bus,133,140
94,truck,133,140
97,bus,138,170
99,truck,143,161
100,car,145,157
101,truck,149,158
104,car,151,159
107,car,159,165
108,car,160,175
110,car,163,172
111,car,163,185
112,car,166,188
113,car,170,205
114,car,170,173
116,car,173,189
117,car,174,180
120,car,175,189
121,car,177,201
126,car,185,194
128,car,187,208
129,car,195,201
130,car,195,207
132,car,200,223
133,car,201,205
134,car,202,224
135,car,203,215
136,truck,203,211
137,car,209,213
138,truck,209,218
140,car,213,221
141,truck,213,230
142,car,213,228
143,car,217,223
144,truck,218,234
146,car,225,241
151,car,236,247
154,car,239,248
160,car,245,261
164,car,248,256
166,car,251,261
171,car,255,265
174,car,257,267
177,car,259,298
179,car,262,272
183,car,265,284
185,car,278,328
189,car,281,292
190,car,282,330
191,car,282,292
193,car,291,302
195,car,318,327
196,car,320,327
197,car,327,340
198,car,328,339
201,car,333,339
206,car,338,351
209,car,340,345
211,car,341,352
213,car,344,358
217,car,353,364
221,car,384,393
223,bus,397,408
229,car,403,409
234,car,414,417
235,truck,417,429
240,car,421,435
241,car,421,428
245,car,435,441
248,bus,441,464
249,car,444,450
250,truck,444,452
252,car,450,466
253,car,452,459
254,truck,452,466
257,car,457,465
259,car,461,465
260,truck,462,470
263,car,466,471
264,car,467,477
265,car,468,473
266,car,470,572
267,car,471,486
271,car,474,489
273,car,476,485
274,car,476,490
276,car,479,496
277,car,485,497
278,car,488,526
280,car,491,498
284,car,499,506
287,car,513,529
291,car,521,525
294,bus,529,586
300,car,559,565
303,car,570,590
307,truck,572,578
309,car,577,585
311,car,578,587
320,truck,596,640
322,car,599,604
326,car,615,631
328,car,626,639
329,car,633,658
330,car,636,644
332,car,663,669
333,car,666,671
334,car,666,675
343,car,681,685
345,car,683,699
348,car,686,693
350,car,689,697
352,car,694,704
357,truck,698,707
358,car,698,711
359,car,703,710
361,car,705,711
363,car,708,726
364,car,711,723
366,car,714,721
369,car,716,727
370,car,717,737
371,truck,720,732
376,car,725,737
377,car,728,735
379,car,728,736
383,car,733,745
384,car,734,743
385,car,736,741
390,car,740,756
397,car,752,762
400,car,755,841
401,car,755,765
406,car,767,809
407,car,776,848
408,car,776,788
413,car,782,788
415,car,786,795
416,car,791,800
419,car,801,805
421,car,803,838
424,car,805,820
425,car,806,869
431,car,812,818
432,car,812,829
433,car,815,827
434,car,818,829
439,car,824,838
440,car,824,844
444,car,836,878
445,car,837,857
447,car,839,850
451,truck,845,854
452,car,846,855
457,car,853,864
458,car,853,864
460,car,854,913
462,car,857,871
469,car,873,878
471,car,877,891
482,car,939,948
487,car,945,955
489,car,951,956
493,car,959,967
496,car,965,975
498,car,967,977
499,car,969,984
502,truck,974,988
511,car,984,999
516,car,1017,1026
517,car,1034,1047
521,car,1040,1053
523,car,1043,1052
527,car,1052,1076
528,car,1057,1071
529,car,1058,1092
530,car,1068,1075
532,car,1071,1076
541,car,1081,1096
542,car,1083,1090
543,car,1086,1146
545,car,1100,1110
547,truck,1104,1113
552,car,1113,1123
555,car,1117,1125
561,car,1137,1143
562,car,1142,1145
563,truck,1145,1211
567,bus,1154,1162
572,car,1166,1173
575,car,1171,1180
576,car,1172,1178
580,car,1176,1188
585,car,1211,1224
586,car,1231,1243
588,bus,1237,1246
593,car,1245,1261
595,car,1245,1258
596,car,1248,1264
600,car,1253,1258
603,car,1255,1260
607,truck,1260,1263
609,truck,1264,1323
613,car,1269,1329
617,car,1273,1283
621,car,1275,1294
626,car,1280,1316
627,car,1281,1293
630,car,1285,1297
631,truck,1287,1292
632,truck,1287,1291
634,car,1289,1294
635,car,1289,1293
639,car,1292,1309
640,car,1294,1316
644,car,1295,1301
648,car,1298,1305
649,car,1298,1308
650,car,1298,1305
653,car,1303,1320
657,car,1307,1325
659,car,1321,1327
664,car,1328,1366
666,car,1335,1344
667,car,1338,1345
670,car,1341,1352
677,car,1346,1365
678,car,1347,1353
680,car,1351,1360
681,car,1352,1409
682,car,1353,1356
684,car,1355,1362
686,truck,1355,1358
689,truck,1361,1371
690,truck,1365,1371
691,car,1371,1385
693,car,1376,1393
695,car,1380,1391
698,bus,1382,1392
701,car,1385,1399
709,car,1391,1403
711,car,1394,1409
714,car,1404,1417
715,car,1405,1410
716,car,1411,1429
721,truck,1427,1436
722,car,1428,1440
723,truck,1430,1463
726,bus,1437,1452
730,car,1442,1557
733,car,1449,1455
737,car,1455,1460
738,truck,1460,1473
739,car,1460,1469
743,car,1475,1483
746,car,1489,1497
751,car,1496,1503
755,car,1499,1510
756,car,1500,1508
758,car,1505,1531
759,car,1511,1575
762,car,1518,1526
765,car,1523,1544
768,car,1530,1557
771,car,1535,1549
772,car,1543,1545
773,car,1546,1557
776,car,1549,1556
778,truck,1551,1558
781,truck,1556,1571
786,car,1561,1570
787,car,1563,1575
789,car,1566,1578
790,car,1581,1583
798,car,1589,1592
801,car,1592,1599
802,car,1593,1604
807,truck,1599,1606
808,car,1599,1616
