interval_index,avg_frame_diff,start_time_second,dwell_time_second
0,23.56,300.0,9.424
750,25.41,600.0,10.164000000000001
1500,28.99,900.0,11.596
2250,29.44,1200.0,11.776000000000002
3000,27.9,1500.0,11.16
3750,26.3,1800.0,10.520000000000001
4500,39.63,2100.0,15.852000000000002
5250,47.24,2400.0,18.896
6000,69.25,2700.0,27.700000000000003
6750,65.99,3000.0,26.396
7500,57.89,3300.0,23.156000000000002
8250,49.24,3600.0,19.696
9000,49.77,3900.0,19.908
9750,17.86,4200.0,7.144
10500,20.89,4500.0,8.356
11250,14.75,4800.0,5.9
12000,16.27,5100.0,6.508
12750,10.848484848484848,5400.0,4.339393939393939
