,Number of frames,car_average_value,bus_average_value,truck_average_value,car_flow_count,bus_flow_count,truck_flow_count,all_flow_count
0,200,5.03,0.45,1.36,21,1,6,28
1,300,2.36,0.0,0.01,28,1,6,35
2,400,2.26,0.02,0.68,38,1,8,47
3,500,2.89,0.0,0.65,48,1,10,59
4,600,2.93,0.14,0.19,57,2,10,69
5,700,3.36,0.52,0.68,70,3,12,85
6,800,3.52,0.01,1.47,85,3,17,105
7,900,7.54,0.01,0.38,120,3,19,142
8,1000,4.77,0.0,0.25,139,3,20,162
9,1100,4.4,0.1,0.24,156,4,21,181
10,1200,2.83,0.24,0.0,167,4,21,192
11,1300,3.91,0.0,0.0,183,4,21,208
12,1400,1.96,0.41,0.06,189,4,21,214
13,1500,2.61,0.33,0.01,200,5,21,226
14,1600,6.34,0.0,0.02,225,5,21,251
15,1700,2.81,0.0,0.17,233,5,23,261
16,1800,3.2,0.11,0.77,245,6,27,278
17,1900,1.95,0.36,0.36,251,6,28,285
18,2000,2.37,0.0,0.0,259,6,28,293
19,2100,1.68,0.0,0.44,264,6,29,299
20,2200,2.17,0.0,0.4,276,6,31,313
21,2300,2.66,0.0,0.34,286,6,32,324
22,2400,2.56,0.16,0.32,294,7,33,334
23,2500,2.17,0.3,0.38,302,7,35,344
24,2600,2.81,0.0,0.7,313,7,38,358
25,2700,1.82,0.0,0.38,321,7,39,367
26,2800,5.51,0.02,0.71,340,7,43,390
27,2900,2.91,0.0,0.04,351,7,45,403
28,3000,3.2,0.23,0.37,368,8,46,422
29,3100,3.2,0.01,0.39,382,8,47,437
30,3200,6.75,0.0,0.47,407,8,51,466
31,3300,6.55,0.0,0.66,432,8,55,495
32,3400,3.15,0.0,1.38,447,8,59,514
33,3500,4.23,0.0,0.84,462,8,62,532
34,3600,4.03,0.0,0.68,477,8,67,552
35,3700,3.62,0.04,0.46,489,9,69,567
36,3800,3.32,0.0,0.01,505,9,69,583
37,3900,3.21,0.33,0.39,520,10,72,602
38,4000,2.38,0.23,0.04,526,10,73,609
39,4100,2.74,0.13,0.77,536,10,76,622
40,4200,3.41,0.0,0.42,548,10,76,634
41,4300,4.15,0.01,0.21,564,10,78,652
42,4400,4.63,0.0,0.0,584,10,78,672
43,4500,2.95,0.0,0.06,599,10,79,688
44,4700,4.62,0.0,0.46,613,10,83,706
45,4800,3.17,0.2,0.88,624,11,89,724
46,4900,4.95,0.06,1.11,645,11,91,747
47,5000,4.58,0.07,0.51,662,11,94,767
48,5100,2.34,0.0,0.02,671,11,94,776
49,5200,3.8,0.0,0.19,683,11,98,792
