,Number of frames,car_average_value,bus_average_value,truck_average_value,car_flow_count,bus_flow_count,truck_flow_count,all_flow_count
0,100,14.25,0.01,0.69,49,0,4,53
1,200,12.5,0.06,0.64,70,0,6,76
2,300,9.66,0.09,1.96,102,0,16,118
3,400,12.4,0.01,1.21,139,0,17,156
4,500,12.08,0.01,0.96,182,0,19,201
5,600,13.83,0.0,0.68,226,0,20,246
6,700,12.58,0.0,1.66,261,0,23,284
7,800,13.24,0.05,1.16,295,0,27,322
8,900,13.07,0.02,0.68,325,0,31,356
9,1000,12.64,0.32,0.79,354,1,33,388
10,1100,11.77,0.0,1.49,377,1,35,413
11,1200,11.82,0.54,2.03,394,2,41,437
12,1300,11.4,0.28,1.51,419,3,46,468
13,1400,12.4,0.06,1.32,439,3,53,495
14,1500,14.7,0.35,0.42,457,4,53,514
15,1600,13.15,0.01,0.84,496,4,58,558
16,1700,14.38,0.0,0.29,530,4,58,592
17,1800,13.53,0.0,0.53,579,4,62,645
18,1900,13.11,0.0,0.03,621,4,63,688
19,2000,13.23,0.0,0.66,663,4,67,734
20,2100,12.69,0.01,0.37,711,4,68,783
21,2200,12.79,0.26,1.12,733,5,70,808
22,2300,12.95,0.0,0.63,756,5,71,832
23,2400,12.8,0.0,0.8,780,5,72,857
24,2500,10.54,0.01,2.24,807,5,73,885
25,2600,12.03,0.38,1.61,835,7,80,922
26,2700,12.85,0.01,0.73,864,8,82,954
27,2800,13.18,0.0,0.14,899,8,83,990
28,2900,13.99,0.0,0.58,927,8,84,1019
29,3000,13.25,0.12,0.38,953,10,85,1048
30,3100,14.89,0.03,0.38,977,10,86,1073
31,3200,8.19,0.81,0.67,997,11,87,1095
32,3300,10.09,1.01,1.38,1028,11,88,1127
33,3400,11.39,0.12,2.48,1051,11,91,1153
34,3500,13.02,0.0,1.38,1085,11,94,1190
35,3600,12.74,0.0,0.2,1118,11,94,1223
36,3700,13.46,0.0,0.46,1134,11,96,1241
37,3800,13.45,0.37,0.82,1161,14,98,1273
38,3900,12.56,0.01,0.83,1178,14,102,1294
39,4000,13.23,0.01,1.45,1202,14,107,1323
40,4100,12.32,0.0,1.21,1228,14,108,1350
41,4200,12.61,0.01,0.44,1250,15,112,1377
42,4300,12.03,0.45,1.28,1269,21,113,1403
43,4400,12.58,0.05,1.0,1300,21,118,1439
44,4500,12.17,0.17,1.47,1324,22,124,1470
45,4600,12.11,0.76,0.72,1342,23,126,1491
46,4700,11.51,1.05,0.59,1374,24,128,1526
47,4800,13.0,0.12,1.8,1404,25,131,1560
48,4900,13.64,0.0,0.65,1437,25,134,1596
49,5000,13.51,0.02,0.62,1471,25,138,1634
50,5100,13.9,0.33,0.99,1496,29,139,1664
51,5200,13.11,0.01,0.52,1533,29,140,1702
52,5300,14.7,0.38,0.24,1554,32,140,1726
53,5400,13.01,0.05,0.72,1575,33,142,1750
54,5500,13.38,0.01,0.43,1610,33,143,1786
55,5600,11.09,0.0,1.05,1641,33,152,1826
56,5700,9.93,0.3,1.77,1673,36,157,1866
57,5800,9.37,0.08,1.76,1706,40,162,1908
58,5900,11.68,0.02,1.24,1740,40,168,1948
59,6000,10.64,0.0,1.17,1785,40,173,1998
60,6100,13.1,0.03,1.53,1832,40,178,2050
61,6200,11.47,0.0,1.59,1859,40,183,2082
62,6300,11.18,0.02,2.32,1880,40,189,2109
63,6400,10.87,0.01,1.91,1922,40,195,2157
64,6500,12.9,0.0,0.89,1958,40,197,2195
65,6600,13.48,0.21,0.61,2000,43,200,2243
66,6700,11.11,0.01,1.54,2045,43,207,2295
67,6800,13.64,0.12,0.49,2093,45,207,2345
68,6900,11.98,0.04,0.99,2133,45,212,2390
69,7000,8.93,0.11,2.01,2165,46,220,2431
70,7100,14.01,0.1,0.78,2204,46,222,2472
71,7200,11.01,0.0,1.11,2244,46,226,2516
72,7300,13.34,0.02,0.32,2300,46,229,2575
73,7400,7.06,0.2,2.6,2322,50,235,2607
74,7500,11.24,0.1,1.14,2350,51,236,2637
75,7600,13.75,0.17,0.51,2380,53,237,2670
76,7700,10.73,0.0,2.04,2406,53,245,2704
77,7800,8.1,0.26,2.51,2427,54,251,2732
78,7900,11.55,0.34,1.23,2455,59,258,2772
79,8000,13.39,0.14,1.57,2493,60,264,2817
80,8100,11.28,0.01,1.72,2514,61,267,2842
81,8200,13.86,0.01,0.29,2569,61,270,2900
82,8300,12.11,0.02,1.53,2591,61,280,2932
83,8400,12.53,0.35,1.15,2626,62,282,2970
84,8500,11.73,0.21,1.38,2660,63,287,3010
85,8600,13.34,0.0,0.61,2688,63,291,3042
86,8700,13.52,0.0,0.61,2723,63,292,3078
87,8800,13.53,0.02,0.34,2764,63,294,3121
88,8900,10.7,0.01,1.81,2796,63,302,3161
89,9000,13.29,0.01,1.32,2844,63,302,3209
90,9100,13.78,0.14,0.47,2875,65,304,3244
91,9200,13.49,0.19,0.25,2907,67,304,3278
92,9300,13.49,0.03,0.56,2933,67,308,3308
93,9400,12.56,0.02,0.63,2979,67,311,3357
94,9500,9.35,0.01,1.8,3006,67,318,3391
95,9600,10.34,0.12,2.03,3037,67,324,3428
96,9700,10.65,0.0,2.13,3073,67,332,3472
97,9800,13.68,0.0,0.88,3116,67,333,3516
98,9900,11.74,0.07,1.25,3159,67,340,3566
99,10000,12.07,0.02,1.16,3195,67,346,3608
100,10100,11.67,0.14,1.66,3235,69,351,3655
101,10200,9.59,0.23,2.01,3265,73,358,3696
102,10300,8.83,0.01,2.3,3294,73,364,3731
103,10400,10.98,0.17,1.42,3329,76,365,3770
104,10500,12.5,0.01,0.34,3365,76,368,3809
105,10600,7.58,0.36,1.42,3391,78,374,3843
