,Number of frames,car_average_value,bus_average_value,truck_average_value,car_flow_count,bus_flow_count,truck_flow_count,all_flow_count
0,100,9.79,0.0,1.02,38,0,2,40
1,200,7.34,0.13,1.63,53,0,4,57
2,300,7.87,0.08,1.87,75,0,6,81
3,400,5.42,0.03,1.85,87,0,7,94
4,500,8.45,0.53,1.18,104,0,8,112
5,600,7.29,0.32,1.24,119,0,9,128
6,700,6.54,0.0,1.73,139,0,10,149
7,800,10.17,0.07,1.05,157,0,11,168
8,900,5.84,0.21,1.4,159,0,12,171
9,1000,9.94,0.0,0.16,176,0,12,188
10,1100,9.92,0.16,0.05,195,2,12,209
11,1200,9.11,0.13,1.41,205,2,14,221
12,1300,4.29,0.01,2.8,213,2,17,232
13,1400,7.83,0.01,1.44,229,2,19,250
14,1500,9.69,0.18,1.89,246,4,22,272
15,1600,8.68,0.74,1.88,263,4,25,292
16,1700,9.47,0.01,0.65,274,4,26,304
17,1800,10.21,0.0,0.86,302,4,27,333
18,1900,10.07,0.0,0.18,321,4,27,352
19,2000,9.43,0.21,1.09,340,4,28,372
20,2100,9.04,0.44,0.53,359,4,29,392
21,2200,7.93,0.34,1.25,375,4,29,408
22,2300,3.77,0.24,1.72,378,4,32,414
23,2400,9.68,0.12,0.85,403,4,34,441
24,2500,7.28,0.23,1.72,418,4,39,461
25,2600,5.81,0.22,2.32,426,4,43,473
26,2700,3.85,0.01,2.37,431,4,46,481
27,2800,9.73,0.0,0.84,462,4,47,513
28,2900,7.16,0.0,0.98,473,4,47,524
29,3000,9.61,0.0,0.98,488,4,48,540
30,3100,10.0,0.12,0.93,502,6,52,560
31,3200,8.29,0.02,1.64,514,6,53,573
32,3300,7.94,0.0,2.02,530,6,55,591
33,3400,4.48,0.0,2.63,541,6,55,602
34,3500,9.44,0.08,0.93,565,7,57,629
35,3600,11.01,0.0,0.4,586,7,58,651
36,3700,8.73,0.39,2.07,603,9,60,672
37,3800,6.9,0.12,2.14,612,9,65,686
38,3900,5.52,0.04,2.01,620,9,66,695
39,4000,8.67,0.0,0.65,642,9,67,718
40,4100,9.74,0.11,0.86,660,9,69,738
41,4200,7.88,0.49,1.28,676,9,72,757
42,4300,7.8,0.1,0.73,688,9,73,770
43,4400,7.2,0.0,0.73,698,9,73,780
