,Number of frames,car_average_value,bus_average_value,truck_average_value,car_flow_count,bus_flow_count,truck_flow_count,all_flow_count
0,100,5.28,0.33,3.27,22,2,7,31
1,200,4.14,1.2,2.29,34,3,11,48
2,300,6.82,0.34,2.4,46,3,14,63
3,400,9.71,0.04,1.54,76,3,16,95
4,500,8.06,0.66,1.93,99,5,19,123
5,600,9.64,0.25,1.46,122,5,22,149
6,700,10.32,0.64,1.88,141,7,25,173
7,800,4.5,0.17,3.56,146,7,29,182
8,900,7.42,0.08,2.76,157,8,32,197
9,1000,6.95,0.16,2.22,171,8,32,211
10,1100,2.68,0.01,2.61,175,8,34,217
11,1200,8.65,0.72,1.74,200,8,37,245
12,1300,10.78,0.15,1.21,215,8,38,261
13,1400,11.52,0.03,1.64,236,8,40,284
14,1500,11.19,0.27,1.56,257,9,40,306
15,1600,7.62,0.59,1.72,263,12,40,315
16,1700,4.53,0.2,2.58,272,12,43,327
17,1800,5.72,0.0,1.65,285,12,44,341
18,1900,4.98,0.1,1.68,293,13,47,353
19,2000,4.27,0.38,1.24,305,13,49,367
20,2100,4.93,0.24,0.36,320,13,49,382
21,2200,4.98,0.17,0.22,325,14,49,388
22,2300,4.01,0.42,1.75,336,14,54,404
23,2400,10.65,0.04,0.53,363,14,55,432
24,2500,6.88,0.62,0.9,372,15,56,443
25,2600,7.76,0.0,0.13,383,15,56,454
26,2700,3.34,0.0,0.15,387,15,56,458
27,2800,3.76,0.49,0.28,393,15,56,464
28,2900,7.42,0.0,0.2,417,15,56,488
29,3000,6.16,0.0,0.07,431,15,56,502
30,3100,5.03,0.0,0.57,442,15,57,514
31,3200,3.45,0.17,0.31,445,15,59,519
32,3300,3.22,0.01,0.52,449,15,59,523
33,3400,1.96,0.0,0.03,454,15,59,528
34,3500,3.6,0.01,0.72,459,15,59,533
35,3600,3.64,0.0,0.99,468,15,62,545
36,3700,2.54,0.01,0.97,475,15,63,553
37,3800,2.51,0.15,0.48,480,15,64,559
38,3900,5.04,0.04,0.6,498,15,65,578
39,4000,2.47,0.0,0.75,501,15,66,582
40,4100,3.89,0.03,0.88,510,15,70,595
41,4200,7.23,0.0,0.12,525,15,70,610
42,4300,4.48,0.0,0.75,534,15,70,619
43,4400,3.63,0.12,0.79,539,17,73,629
44,4500,4.74,0.02,0.91,557,17,74,648
45,4600,5.63,0.27,0.21,565,19,75,659
46,4700,4.99,0.11,0.71,572,20,76,668
47,4800,4.42,0.01,1.48,586,20,78,684
48,4900,4.06,0.01,3.05,591,20,83,694
49,5000,7.22,0.0,1.54,612,20,86,718
50,5100,7.26,0.25,0.79,626,22,87,735
51,5200,3.94,0.31,0.3,631,23,87,741
52,5300,4.02,0.01,0.86,638,23,89,750
53,5400,2.87,0.22,0.65,645,23,90,758
54,5500,3.79,0.01,0.86,655,23,91,769
55,5600,5.97,0.03,0.46,674,23,92,789
56,5700,6.36,0.04,0.12,686,23,92,801
57,5800,3.79,0.04,0.04,693,23,92,808
58,5900,5.17,0.04,0.18,702,24,92,818
59,6000,5.15,0.0,0.38,711,24,93,828
60,6100,2.74,0.01,0.72,715,24,94,833
61,6200,4.88,0.21,1.69,732,24,98,854
62,6300,4.53,0.09,1.38,742,24,103,869
63,6400,4.17,0.23,0.79,753,25,104,882
64,6500,6.79,0.0,0.1,769,25,105,899
65,6600,4.75,0.23,0.3,773,30,106,909
66,6700,3.84,0.26,0.49,782,30,108,920
67,6800,4.48,0.08,0.28,790,31,108,929
68,6900,5.3,0.0,0.0,800,31,108,939
69,7000,5.23,0.0,0.83,812,31,109,952
70,7100,6.34,0.16,0.65,825,33,110,968
71,7200,4.18,0.03,1.85,838,33,112,983
72,7300,6.74,0.23,0.84,854,33,113,1000
73,7400,4.01,0.07,0.63,859,33,114,1006
74,7500,4.58,0.01,0.96,870,33,114,1017
75,7600,4.26,0.21,0.53,878,33,116,1027
76,7700,5.01,0.08,0.05,890,33,116,1039
77,7800,4.99,0.05,0.08,901,34,116,1051
78,7900,3.95,0.19,0.52,911,34,117,1062
79,8000,3.68,0.0,0.72,917,34,118,1069
80,8100,5.78,0.01,0.95,934,34,120,1088
81,8200,4.03,0.07,0.97,947,34,120,1101
82,8300,4.37,0.31,0.5,958,34,122,1114
83,8400,4.64,0.05,0.63,967,34,124,1125
84,8500,4.42,0.08,1.45,976,34,127,1137
85,8600,5.69,0.09,0.63,985,34,127,1146
86,8700,5.65,0.38,0.38,1002,34,129,1165
87,8800,5.04,0.0,0.19,1009,34,130,1173
88,8900,4.61,0.27,0.69,1015,34,132,1181
89,9000,4.44,0.01,1.01,1028,34,133,1195
90,9100,6.49,0.02,0.79,1046,34,134,1214
91,9200,5.75,0.0,0.27,1059,34,134,1227
92,9300,6.23,0.15,0.7,1073,34,135,1242
93,9400,4.12,0.02,0.51,1081,34,137,1252
94,9500,4.72,0.23,0.37,1090,34,138,1262
95,9600,4.94,0.03,0.75,1100,34,138,1272
96,9700,3.38,0.0,0.1,1100,34,139,1273
97,9800,4.12,0.0,1.04,1104,34,139,1277
98,9900,4.68,0.01,0.7,1117,34,139,1290
99,10000,4.25,0.02,0.82,1123,34,141,1298
100,10100,5.77,0.0,0.58,1139,34,141,1314
101,10200,6.44,0.14,0.95,1155,35,143,1333
102,10300,8.16,0.02,0.85,1176,35,145,1356
103,10400,5.0,0.0,0.81,1183,35,146,1364
104,10500,5.03,0.01,1.03,1193,35,147,1375
105,10600,6.06,0.02,0.58,1207,35,148,1390
106,10700,5.4,0.01,0.66,1214,35,148,1397
107,10800,5.24,0.16,0.57,1226,35,148,1409
108,10900,4.68,0.11,1.22,1233,35,151,1419
109,11000,5.37,0.37,0.4,1251,35,151,1437
110,11100,6.1,0.14,0.36,1263,35,153,1451
111,11200,5.99,0.23,0.29,1277,35,153,1465
112,11300,4.44,0.0,1.16,1285,35,155,1475
113,11400,5.95,0.2,0.99,1299,35,155,1489
114,11500,6.72,0.05,0.85,1322,36,156,1514
