id,class,first_frame,last_frame
2,car,3,67
3,car,3,14
4,car,3,47
5,car,3,105
7,car,3,19
10,car,7,13
12,car,8,121
13,car,8,64
22,car,14,49
24,car,16,85
29,car,22,31
34,car,25,100
37,car,27,123
38,car,27,112
41,car,35,85
44,car,36,46
46,car,38,68
47,car,41,79
49,car,46,102
54,car,53,117
56,car,57,149
58,car,58,214
66,car,69,91
72,car,73,80
74,bus,75,212
85,car,91,218
86,car,92,149
88,car,93,200
91,car,96,132
93,car,99,144
101,car,107,140
103,car,112,158
108,car,116,166
111,car,120,124
115,bus,126,257
116,car,127,168
120,car,136,139
130,truck,145,154
131,car,145,153
132,car,146,173
136,car,155,169
137,car,156,224
142,car,165,184
144,car,167,242
163,car,198,239
164,car,198,246
168,car,206,271
169,car,207,245
172,car,208,239
174,car,210,317
177,car,214,230
187,bus,225,238
188,car,226,283
191,car,231,233
198,car,237,250
199,car,239,368
206,car,253,356
218,car,269,296
221,car,272,317
224,truck,275,435
226,car,277,318
233,car,283,516
234,truck,285,298
242,car,302,305
243,car,303,374
245,car,307,343
251,bus,317,378
254,truck,328,444
257,car,348,469
258,car,354,390
260,car,356,432
262,car,362,525
264,truck,369,391
265,car,370,405
269,car,383,425
271,car,389,432
272,car,390,478
273,car,392,416
278,car,399,426
293,car,431,525
301,car,436,464
302,car,437,493
305,car,442,520
314,car,455,614
316,car,455,466
319,car,457,478
323,car,459,658
331,car,467,554
335,car,469,529
339,car,478,502
342,bus,479,536
349,car,495,520
352,car,498,522
360,truck,508,579
361,car,510,556
365,car,519,570
372,car,534,556
374,car,534,571
376,car,538,548
379,car,542,594
383,car,549,638
384,bus,552,682
388,car,558,566
396,car,575,582
403,car,587,688
406,car,593,712
408,car,603,687
414,car,612,726
416,bus,615,689
420,car,624,693
423,car,627,634
427,car,635,643
428,car,635,715
430,car,639,668
433,car,641,644
441,car,648,677
446,car,659,661
454,car,672,925
455,car,673,711
456,car,673,853
457,car,674,720
462,car,683,726
470,car,693,738
473,car,698,701
475,car,699,704
478,car,703,778
480,car,703,849
495,car,717,862
497,car,718,752
498,car,718,779
502,car,732,789
503,car,735,860
508,car,740,892
521,car,760,766
522,car,767,872
528,car,777,786
536,car,785,803
544,car,788,790
545,car,789,805
546,car,793,829
574,car,845,893
578,bus,861,1003
579,car,863,923
580,car,864,890
581,car,865,907
584,car,868,900
586,car,876,919
588,car,878,972
592,car,885,909
596,car,891,912
600,car,898,902
603,car,901,904
609,car,913,1071
610,car,915,1097
614,car,920,931
615,car,921,933
623,car,932,959
627,car,936,1013
634,car,950,957
641,car,954,957
643,car,955,985
647,car,961,1022
654,car,968,1016
658,car,987,1001
660,car,988,1035
662,car,990,1179
664,car,993,1126
671,car,1000,1023
672,car,1001,1006
673,bus,1005,1007
677,car,1008,1017
679,car,1008,1070
680,car,1008,1080
683,car,1013,1183
689,car,1026,1115
695,car,1038,1137
697,car,1046,1110
699,car,1051,1099
708,car,1082,1186
709,car,1086,1160
720,car,1102,1110
722,car,1106,1372
734,car,1119,1192
742,truck,1136,1244
746,car,1159,1162
747,car,1159,1172
760,car,1182,1216
762,car,1184,1191
766,truck,1194,1318
768,bus,1197,1199
779,bus,1224,1299
789,truck,1243,1332
798,truck,1259,1404
806,car,1272,1338
808,car,1274,1294
817,car,1289,1291
831,truck,1310,1354
832,car,1311,1428
833,car,1313,1416
836,truck,1318,1334
840,car,1323,1363
843,car,1332,1392
849,car,1335,1343
850,car,1335,1438
861,car,1342,1371
865,car,1346,1477
869,car,1354,1410
873,car,1357,1384
876,car,1360,1362
877,car,1360,1386
883,car,1371,1425
886,car,1374,1547
888,car,1380,1432
895,car,1394,1491
901,car,1410,1437
902,car,1410,1445
914,car,1430,1471
