interval_index,avg_frame_diff,start_time_second,dwell_time_second
0,77.11,300.0,30.844
750,60.19,600.0,24.076
1500,64.86,900.0,25.944000000000003
2250,67.12,1200.0,26.848000000000003
3000,67.64,1500.0,27.056
3750,60.17,1800.0,24.068
4500,69.8,2100.0,27.92
5250,60.64,2400.0,24.256
6000,62.197916666666664,2700.0,24.879166666666666
6750,81.26,3000.0,32.504000000000005
7500,63.01,3300.0,25.204
8250,62.45,3600.0,24.980000000000004
9000,66.26,3900.0,26.504000000000005
9750,69.71,4200.0,27.884
10500,71.39,4500.0,28.556
11250,62.71,4800.0,25.084000000000003
12000,65.73,5100.0,26.292
12750,70.84536082474227,5400.0,28.33814432989691
13500,68.88,5700.0,27.552
14250,56.25,6000.0,22.5
15000,52.62,6300.0,21.048000000000002
15750,52.8,6600.0,21.12
16500,50.0,6900.0,20.0
17250,53.14,7200.0,21.256
18000,49.46,7500.0,19.784000000000002
18750,51.3,7800.0,20.52
19500,55.67058823529412,8100.0,22.26823529411765
20250,56.91,8400.0,22.764
21000,59.12,8700.0,23.648
21750,56.71,9000.0,22.684
22500,69.66,9300.0,27.864
23250,67.74736842105263,9600.0,27.09894736842105
24000,74.47368421052632,9900.0,29.789473684210527
24750,81.98,10200.0,32.792
25500,66.75,10500.0,26.700000000000003
26250,58.39,10800.0,23.356
27000,39.745098039215684,11100.0,15.898039215686275
